PLAYER,TEAM,AGE,HEIGHT,WEIGHT,,,,,,,,,,,,,,,
Anthony Gill,WAS,30,6-8,230,,,,,,,,,,,5.8,10,11.6,60.4,7.4
Bradley Beal,WAS,29,6-4,207,,,,,,,,,,,2.6,9.1,28.8,59.3,26
Corey Kispert,WAS,24,6-6,224,,,,,,,,,,,1.6,8.2,13.9,65.7,5.6
Daniel Gafford,WAS,24,6-10,234,,,,,,,,,,,10.3,15.9,14.6,73.9,7.4
Delon Wright,WAS,31,6-5,185,,,,,,,,,,,5,9.7,12.5,58.1,20.9
Deni Avdija,WAS,22,6-9,210,,,,,,,,,,,3.8,19.6,16.5,53.5,14.2
Devon Dotson,WAS,23,6-1,185,,,,,,,,,,,10.7,8.5,10.2,15,21.1
Isaiah Todd,WAS,21,6-9,219,,,,,,,,,,,2.7,15.2,14.3,22.6,8.7
Jamaree Bouyea,WAS,23,6-2,180,,,,,,,,,,,1.6,8.6,12,50.4,9.1
Jay Huff,WAS,25,7-1,240,,,,,,,,,,,6,15.3,15.5,79.6,13.5
Johnny Davis,WAS,21,6-4,195,,,,,,,,,,,2,12.5,19.2,44.6,10
Jordan Goodwin,WAS,24,6-3,200,,,,,,,,,,,5,13.1,16.5,53.1,22
Jordan Schakel,WAS,24,6-6,200,,,,,,,,,,,0,0,15.4,75,16.7
Kendrick Nunn,WAS,27,6-3,190,,,,,,,,,,,1.5,9,22.7,53,13.7
Kristaps Porzingis,WAS,27,7-3,240,,,,,,,,,,,5.7,19.4,27.2,62.7,12.5
Kyle Kuzma,WAS,27,6-9,221,,,,,,,,,,,2.5,17.2,27.3,54.4,16.4
Monte Morris,WAS,27,6-2,183,,,,,,,,,,,1.6,10.6,15.5,57.9,24.9
Quenton Jackson,WAS,24,6-5,173,,,,,,,,,,,1.4,4.4,16.4,54.2,15.5
Taj Gibson,WAS,37,6-9,232,,,,,,,,,,,6.8,14.3,15.1,58.5,9.4
Xavier Cooks,WAS,27,6-8,183,,,,,,,,,,,11.3,15.2,12.7,58.6,6.1
Collin Sexton,UTA,24,6-2,190,,,,,,,,,,,3.2,5.6,23,61.6,17.8
Damian Jones,UTA,27,6-11,245,,,,,,,,,,,7.8,15.2,10.2,71.9,4.4
Frank Jackson,UTA,25,6-3,205,,,,,,,,,,,12.5,33.3,25,0,25
Jarrell Brantley,UTA,26,6-5,250,,,,,,,,,,,2,9.3,17.2,73.9,12.5
Johnny Juzang,UTA,22,6-6,209,,,,,,,,,,,2.9,12.2,18.7,41.1,5.1
