PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
A.J. Lawson,DAL,15,5,10,108,7,2,4,50,0,2,0,4,57.1,2,28.6,0,0,0,0,1,14.3
AJ Green,MIL,35,27,8,345,13,1,2,50,0,0,0,2,15.4,10,76.9,1,7.7,1,7.7,0,0
AJ Griffin,ATL,72,34,38,1401,205,64,128,50,23,26,88.5,152,74.1,48,23.4,8,3.9,11,5.4,13,6.3
Aaron Gordon,DEN,68,45,23,2055,228,59,106,55.7,42,77,54.5,166,72.8,61,26.8,20,8.8,16,7,38,16.7
Aaron Holiday,ATL,63,32,31,845,214,33,79,41.8,11,14,78.6,81,37.9,108,50.5,17,7.9,13,6.1,7,3.3
Aaron Nesmith,IND,73,30,43,1816,300,58,130,44.6,41,52,78.8,161,53.7,111,37,24,8,23,7.7,26,8.7
Aaron Wiggins,OKC,70,37,33,1297,195,39,87,44.8,12,16,75,92,47.2,74,37.9,18,9.2,16,8.2,8,4.1
Admiral Schofield,ORL,37,14,23,451,33,10,21,47.6,6,6,100,27,81.8,5,15.2,0,0,3,9.1,3,9.1
Al Horford,BOS,63,44,19,1921,85,18,30,60,3,6,50,39,45.9,47,55.3,13,15.3,2,2.4,3,3.5
Alec Burks,DET,50,12,38,1102,241,51,104,49,41,54,75.9,152,63.1,87,36.1,22,9.1,13,5.4,28,11.6
Aleksej Pokusevski,OKC,34,16,18,701,90,13,40,32.5,7,10,70,33,36.7,36,40,7,7.8,6,6.7,5,5.6
Alex Caruso,CHI,66,32,34,1553,150,17,39,43.6,18,20,90,54,36,81,54,24,16,13,8.7,10,6.7
Alex Len,SAC,26,15,11,161,3,1,2,50,0,0,0,2,66.7,1,33.3,0,0,0,0,0,0
Alize Johnson,SAS,4,1,3,30,4,1,1,100,0,0,0,2,50,2,50,1,25,0,0,0,0
Alondes Williams,BKN,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alperen Sengun,HOU,75,18,57,2171,333,85,150,56.7,45,64,70.3,224,67.3,109,32.7,26,7.8,30,9,32,9.6
Amir Coffey,LAC,50,26,24,625,110,24,59,40.7,20,26,76.9,69,62.7,32,29.1,8,7.3,5,4.5,13,11.8
Andre Drummond,CHI,67,32,35,849,21,7,14,50,2,4,50,16,76.2,3,14.3,1,4.8,2,9.5,2,9.5
Andre Iguodala,GSW,7,2,5,95,6,1,1,100,0,0,0,3,50,4,66.7,1,16.7,1,16.7,0,0
Andrew Nembhard,IND,75,32,43,2074,624,105,233,45.1,23,28,82.1,238,38.1,326,52.2,70,11.2,31,5,14,2.2
Andrew Wiggins,GSW,36,18,18,1163,170,23,67,34.3,10,14,71.4,56,32.9,76,44.7,19,11.2,14,8.2,7,4.1
Anfernee Simons,POR,62,27,35,2171,547,150,280,53.6,52,56,92.9,362,66.2,198,36.2,46,8.4,29,5.3,28,5.1
Anthony Davis,LAL,56,31,25,1905,173,58,107,54.2,31,50,62,155,89.6,34,19.7,8,4.6,6,3.5,25,14.5
Anthony Edwards,MIN,78,39,39,2817,958,275,526,52.3,151,195,77.4,724,75.6,238,24.8,63,6.6,71,7.4,98,10.2
Anthony Gill,WAS,59,21,38,625,53,9,23,39.1,16,22,72.7,34,64.2,17,32.1,4,7.5,2,3.8,11,20.8
Anthony Lamb,GSW,61,35,26,1171,122,21,35,60,8,12,66.7,53,43.4,65,53.3,9,7.4,10,8.2,6,4.9
Austin Reaves,LAL,64,35,29,1843,401,82,135,60.7,90,104,86.5,272,67.8,167,41.6,41,10.2,32,8,52,13
Austin Rivers,MIN,52,25,27,1016,177,35,64,54.7,18,22,81.8,92,52,90,50.8,19,10.7,9,5.1,11,6.2
Ayo Dosunmu,CHI,79,39,40,2072,403,102,172,59.3,18,24,75,224,55.6,180,44.7,39,9.7,32,7.9,12,3
Bam Adebayo,MIA,75,40,35,2598,395,116,230,50.4,69,84,82.1,309,78.2,83,21,9,2.3,25,6.3,42,10.6
Ben Simmons,BKN,42,24,18,1105,146,32,61,52.5,7,12,58.3,71,48.6,66,45.2,12,8.2,8,5.5,7,4.8
Bennedict Mathurin,IND,78,33,45,2222,591,149,338,44.1,137,162,84.6,454,76.8,107,18.1,19,3.2,46,7.8,83,14
Bismack Biyombo,PHX,61,33,28,874,6,2,4,50,0,0,0,4,66.7,2,33.3,0,0,0,0,0,0
Blake Griffin,BOS,41,27,14,569,15,2,7,28.6,0,2,0,5,33.3,3,20,0,0,2,13.3,1,6.7
Blake Wesley,SAS,34,8,26,611,208,19,80,23.8,12,18,66.7,52,25,101,48.6,28,13.5,15,7.2,9,4.3
Boban Marjanovic,HOU,31,7,24,171,1,0,0,0,2,2,100,2,200,0,0,0,0,0,0,1,100
