team,logo
ATL,https://logos-world.net/wp-content/uploads/2020/07/Atlanta-Hawks-Logo-700x394.png
BOS,https://logos-world.net/wp-content/uploads/2020/05/Boston-Celtics-logo-700x394.png
BKN,https://logos-world.net/wp-content/uploads/2020/05/Brooklyn-Nets-Logo-700x394.png
CHA,https://logos-world.net/wp-content/uploads/2020/05/Charlotte-Hornets-logo-700x394.png
CHI,https://logos-world.net/wp-content/uploads/2020/05/Chicago-Bulls-logo-700x394.png
CLE,https://logos-world.net/wp-content/uploads/2020/06/Cleveland-Cavaliers-Logo-700x394.png
DAL,https://logos-world.net/wp-content/uploads/2020/05/Dallas-Mavericks-Logo-700x394.png
DEN,https://logos-world.net/wp-content/uploads/2020/05/Denver-Nuggets-Logo-700x394.png
DET,https://logos-world.net/wp-content/uploads/2020/05/Detroit-Pistons-logo-700x394.png
GSW,https://logos-world.net/wp-content/uploads/2020/05/Golden-State-Warriors-logo-700x394.png
HOU,https://logos-world.net/wp-content/uploads/2020/05/Houston-Rockets-logo-700x394.png
IND,https://logos-world.net/wp-content/uploads/2020/05/Indiana-Pacers-logo-700x394.png
LAC,https://logos-world.net/wp-content/uploads/2020/05/Los-Angeles-Clippers-Logo-700x394.png
LAL,https://logos-world.net/wp-content/uploads/2020/05/Los-Angeles-Lakers-Logo.png
MEM,https://logos-world.net/wp-content/uploads/2020/05/Memphis-Grizzlies-logo-700x394.png
MIA,https://logos-world.net/wp-content/uploads/2020/05/Miami-Heat-logo-700x394.png
MIL,https://logos-world.net/wp-content/uploads/2020/05/Milwaukee-Bucks-logo-700x394.png
MIN,https://logos-world.net/wp-content/uploads/2020/05/Minnesota-Timberwolves-logo-700x394.png
NOP,https://logos-world.net/wp-content/uploads/2020/05/New-Orleans-Pelicans-Logo-700x394.png
NYK,https://logos-world.net/wp-content/uploads/2020/05/New-York-Knicks-logo.png
OKC,https://logos-world.net/wp-content/uploads/2020/05/Oklahoma-City-Thunder-logo-700x394.png
ORL,https://logos-world.net/wp-content/uploads/2020/07/Orlando-Magic-logo-700x394.png
PHI,https://logos-world.net/wp-content/uploads/2020/05/Philadelphia-76ers-logo-700x394.png
PHX,https://logos-world.net/wp-content/uploads/2020/05/Phoenix-Suns-logo-700x394.png
POR,https://logos-world.net/wp-content/uploads/2020/05/Portland-Trail-Blazers-logo.png
SAC,https://logos-world.net/wp-content/uploads/2020/05/Sacramento-Kings-logo-700x394.png
SAS,https://logos-world.net/wp-content/uploads/2020/05/San-Antonio-Spurs-logo-700x394.png
TOR,https://logos-world.net/wp-content/uploads/2020/05/Toronto-Raptors-logo-700x394.png
UTA,https://logos-world.net/wp-content/uploads/2020/05/Utah-Jazz-logo-700x394.png
WAS,https://logos-world.net/wp-content/uploads/2020/05/Washington-Wizards-logo-700x394.png
